Source,Target,Type,Weight,TitleType
nm0256105,tt15768840,Undirected,1,movie
nm0257694,tt9815554,Undirected,1,movie
nm0258810,tt14723224,Undirected,1,movie
nm0261162,tt14450630,Undirected,1,movie
nm0261964,tt9845564,Undirected,1,movie
nm0264124,tt10808502,Undirected,1,movie
nm0264525,tt2382320,Undirected,1,movie
nm0264525,tt11127680,Undirected,1,movie
nm0264857,tt11214590,Undirected,1,movie
nm0265717,tt1160419,Undirected,1,movie
nm0266103,tt7868082,Undirected,1,movie
nm0266286,tt13835046,Undirected,1,movie
nm0266441,tt10430850,Undirected,1,movie
nm0267043,tt14531632,Undirected,1,movie
nm0267256,tt1160419,Undirected,1,movie
nm0268376,tt8290478,Undirected,1,movie
nm0268872,tt10696784,Undirected,1,movie
nm0269570,tt13188064,Undirected,1,movie
nm0270005,tt12077010,Undirected,1,movie
nm0270350,tt8521718,Undirected,1,movie
nm0270873,tt9047564,Undirected,1,movie
nm0271538,tt8201804,Undirected,1,movie
nm4086321,tt1160419,Undirected,1,movie
nm0272885,tt14464240,Undirected,1,movie
nm0273380,tt11579538,Undirected,1,movie
nm0274549,tt11892272,Undirected,1,movie
nm0274704,tt9731682,Undirected,1,movie
nm0274704,tt2231874,Undirected,1,movie
nm0275384,tt9376612,Undirected,1,movie
nm0275384,tt6654210,Undirected,1,movie
nm0275767,tt9278312,Undirected,1,movie
nm0276431,tt6876724,Undirected,1,movie
nm6815658,tt14849502,Undirected,1,movie
nm0277700,tt13502736,Undirected,1,movie
nm0278439,tt8510196,Undirected,1,movie
nm0278784,tt14513350,Undirected,1,movie
nm7096421,tt6874762,Undirected,1,movie
nm0280453,tt12810802,Undirected,1,movie
nm0284404,tt10872600,Undirected,1,movie
nm0284405,tt10426580,Undirected,1,movie
nm0284405,tt8128276,Undirected,1,movie
nm0284780,tt3228774,Undirected,1,movie
nm0284869,tt13774454,Undirected,1,movie
nm0285734,tt15450340,Undirected,1,movie
nm0286537,tt9568230,Undirected,1,movie
nm0286569,tt9141588,Undirected,1,movie
nm1917115,tt10293406,Undirected,1,movie
nm0287065,tt14502642,Undirected,1,movie
nm0288124,tt13820428,Undirected,1,movie
nm0288165,tt2084952,Undirected,1,movie
nm0288568,tt6823148,Undirected,1,movie
nm0288746,tt15524132,Undirected,1,movie
nm6444218,tt11080108,Undirected,1,movie
nm12326595,tt13456330,Undirected,1,movie
nm12326595,tt13660118,Undirected,1,movie
nm0289398,tt13540744,Undirected,1,movie
nm0290682,tt3535150,Undirected,1,movie
nm0293977,tt13024674,Undirected,1,movie
nm0295210,tt2311862,Undirected,1,movie
nm0295474,tt11436498,Undirected,1,movie
nm0295575,tt11777618,Undirected,1,movie
nm0295906,tt8722080,Undirected,1,movie
nm0296596,tt10944760,Undirected,1,movie
nm0298974,tt1321510,Undirected,1,movie
nm0299429,tt3215824,Undirected,1,movie
nm0300964,tt14271514,Undirected,1,movie
nm0301593,tt11547828,Undirected,1,movie
nm0302522,tt3420504,Undirected,1,movie
nm0302856,tt9777666,Undirected,1,movie
nm0303064,tt13612544,Undirected,1,movie
nm0303245,tt11540284,Undirected,1,movie
nm0307295,tt5034838,Undirected,1,movie
nm0308182,tt12474816,Undirected,1,movie
nm0311606,tt15255738,Undirected,1,movie
nm0311901,tt6902332,Undirected,1,movie
nm0313873,tt11260832,Undirected,1,movie
nm0314478,tt2076822,Undirected,1,movie
