Source,Target,Type,Weight,TitleType
nm0238186,tt13455454,Undirected,1,movie
nm0240066,tt15274580,Undirected,1,movie
nm0241182,tt14469906,Undirected,1,movie
nm0242064,tt16422904,Undirected,1,movie
nm0242285,tt14471254,Undirected,1,movie
nm0242315,tt10016180,Undirected,1,movie
nm0242614,tt6760620,Undirected,1,movie
nm0244893,tt14830864,Undirected,1,movie
nm0246570,tt14763720,Undirected,1,movie
nm0247542,tt16154594,Undirected,1,movie
nm0248096,tt15339284,Undirected,1,movie
nm0248654,tt13150622,Undirected,1,movie
nm0252021,tt9098872,Undirected,1,movie
nm0252936,tt2382320,Undirected,1,movie
nm0253018,tt14371818,Undirected,1,movie
nm0254927,tt7474414,Undirected,1,movie
nm0256896,tt14039188,Undirected,1,movie
nm0257987,tt12831788,Undirected,1,movie
nm0258221,tt8205028,Undirected,1,movie
nm0259879,tt3554046,Undirected,1,movie
nm0259915,tt14846178,Undirected,1,movie
nm0259946,tt13848566,Undirected,1,movie
nm0261629,tt14449392,Undirected,1,movie
nm0262201,tt6714432,Undirected,1,movie
nm0262256,tt14111734,Undirected,1,movie
nm0263509,tt15439196,Undirected,1,movie
nm0263882,tt2397461,Undirected,1,movie
nm0266286,tt13835046,Undirected,1,movie
nm0266861,tt13855236,Undirected,1,movie
nm0267718,tt1160419,Undirected,1,movie
nm0268403,tt4936034,Undirected,1,movie
nm0268872,tt10696784,Undirected,1,movie
nm0269417,tt15727626,Undirected,1,movie
nm0270800,tt13496136,Undirected,1,movie
nm0271599,tt9033292,Undirected,1,movie
nm0271972,tt10293932,Undirected,1,movie
nm0274082,tt13841708,Undirected,1,movie
nm0275452,tt13321730,Undirected,1,movie
nm0275649,tt14318912,Undirected,1,movie
nm5026111,tt0293429,Undirected,1,movie
nm0276282,tt12731980,Undirected,1,movie
nm0276466,tt10505316,Undirected,1,movie
nm0276690,tt4682970,Undirected,1,movie
nm0277136,tt14917170,Undirected,1,movie
nm0277342,tt10676012,Undirected,1,movie
nm0277808,tt14641876,Undirected,1,movie
nm0278004,tt13911848,Undirected,1,movie
nm0278924,tt10726872,Undirected,1,movie
nm0279191,tt2398276,Undirected,1,movie
nm0279338,tt10214584,Undirected,1,movie
nm0279958,tt14452464,Undirected,1,movie
nm0280264,tt11083552,Undirected,1,movie
nm0281073,tt11271038,Undirected,1,movie
nm3712001,tt3554046,Undirected,1,movie
nm0282720,tt14588396,Undirected,1,movie
nm0283938,tt14171544,Undirected,1,movie
nm0285408,tt15196796,Undirected,1,movie
nm0285563,tt5805904,Undirected,1,movie
nm0286465,tt14797068,Undirected,1,movie
nm0287398,tt14994042,Undirected,1,movie
nm0287398,tt7475578,Undirected,1,movie
nm0290049,tt12989910,Undirected,1,movie
nm0291180,tt9301896,Undirected,1,movie
nm0293498,tt14587086,Undirected,1,movie
nm0294301,tt8702244,Undirected,1,movie
nm0296596,tt10944760,Undirected,1,movie
nm0296685,tt7530340,Undirected,1,movie
nm0297662,tt13607498,Undirected,1,movie
nm0298663,tt7740496,Undirected,1,movie
nm0298701,tt8165192,Undirected,1,movie
nm0299289,tt12412166,Undirected,1,movie
nm0301303,tt13148912,Undirected,1,movie
nm0304637,tt3663052,Undirected,1,movie
nm0305362,tt6314382,Undirected,1,movie
nm0305563,tt10722406,Undirected,1,movie
nm0306149,tt8009466,Undirected,1,movie
nm0307479,tt16150584,Undirected,1,movie
nm10748737,tt12474816,Undirected,1,movie
nm0308319,tt15838344,Undirected,1,movie
nm0309320,tt10838180,Undirected,1,movie
nm0309348,tt12593218,Undirected,1,movie
nm0310577,tt13083220,Undirected,1,movie
nm0311480,tt14967752,Undirected,1,movie
nm0311964,tt14217100,Undirected,1,movie
nm0312519,tt14597686,Undirected,1,movie
nm0312881,tt11992904,Undirected,1,movie
nm0313652,tt12602994,Undirected,1,movie
nm0313877,tt13071366,Undirected,1,movie
nm0315591,tt14550670,Undirected,1,movie
nm0316306,tt10505316,Undirected,1,movie
nm0317364,tt9256574,Undirected,1,movie
nm0317664,tt14871264,Undirected,1,movie
nm0317664,tt14775484,Undirected,1,movie
nm0319419,tt13977508,Undirected,1,movie
nm0319781,tt13276160,Undirected,1,movie
nm0319815,tt10116022,Undirected,1,movie
nm0320326,tt15743808,Undirected,1,movie
nm0320762,tt8847712,Undirected,1,movie
nm0321922,tt10838180,Undirected,1,movie
nm0321945,tt15470118,Undirected,1,movie
nm0323112,tt14921098,Undirected,1,movie
nm0323630,tt13628362,Undirected,1,movie
nm0323967,tt0293429,Undirected,1,movie
nm0324634,tt14195662,Undirected,1,movie
nm0326697,tt10016180,Undirected,1,movie
nm0326792,tt15302058,Undirected,1,movie
nm0327748,tt14030266,Undirected,1,movie
nm0329144,tt14818550,Undirected,1,movie
nm0329144,tt14785438,Undirected,1,movie
nm0329174,tt13820428,Undirected,1,movie
nm0329223,tt7897330,Undirected,1,movie
nm0330625,tt7991608,Undirected,1,movie
nm0332740,tt10327252,Undirected,1,movie
nm0333127,nm10923409,Undirected,1,movie
nm0333705,tt13846414,Undirected,1,movie
nm0335825,tt14104436,Undirected,1,movie
nm0336402,tt14020928,Undirected,1,movie
nm5731328,tt16366574,Undirected,1,movie
nm0339517,tt12959754,Undirected,1,movie
nm0340375,tt15869136,Undirected,1,movie
nm0340565,tt10476458,Undirected,1,movie
nm0340886,tt3590964,Undirected,1,movie
nm0341132,tt11628854,Undirected,1,movie
nm0341275,tt10293406,Undirected,1,movie
nm0343903,tt15398166,Undirected,1,movie
nm0345355,tt10732462,Undirected,1,movie
nm0345355,tt15428792,Undirected,1,movie
nm0346545,tt13621424,Undirected,1,movie
nm0346849,tt11880722,Undirected,1,movie
nm0347555,tt13648232,Undirected,1,movie
nm0348253,tt15403332,Undirected,1,movie
nm0349566,tt13445528,Undirected,1,movie
nm0351176,tt12991844,Undirected,1,movie
nm0352812,tt15258248,Undirected,1,movie
nm0352858,tt7265490,Undirected,1,movie
nm0352968,tt10062338,Undirected,1,movie
nm0353519,tt14509418,Undirected,1,movie
nm0354417,tt11400074,Undirected,1,movie
nm0355453,tt10832720,Undirected,1,movie
nm0356960,tt7188700,Undirected,1,movie
nm0357482,tt13029316,Undirected,1,movie
nm0359257,tt5109280,Undirected,1,movie
nm0359387,tt10016180,Undirected,1,movie
nm0359412,tt17163982,Undirected,1,movie
nm0359491,tt15091418,Undirected,1,movie
nm3332364,tt7267726,Undirected,1,movie
nm0362136,tt3683014,Undirected,1,movie
nm0362874,tt14527646,Undirected,1,movie
nm0362929,tt1160419,Undirected,1,movie
nm0366755,tt12215740,Undirected,1,movie
nm0366890,tt6902332,Undirected,1,movie
nm0368693,tt15203648,Undirected,1,movie
nm0368693,tt15410692,Undirected,1,movie
nm0369635,tt3006472,Undirected,1,movie
nm2727809,tt7598106,Undirected,1,movie
nm0370683,tt13869368,Undirected,1,movie
nm0371114,tt11951730,Undirected,1,movie
nm0371498,tt10022782,Undirected,1,movie
nm0371526,tt12483148,Undirected,1,movie
nm0371691,tt8575058,Undirected,1,movie
nm0373666,tt14384360,Undirected,1,movie
nm0374807,tt3758814,Undirected,1,movie
nm0376950,tt13098866,Undirected,1,movie
nm0377573,tt14534854,Undirected,1,movie
nm0378144,tt3758814,Undirected,1,movie
nm0378240,tt9815554,Undirected,1,movie
nm0378528,tt4695264,Undirected,1,movie
nm0378759,tt16088510,Undirected,1,movie
nm0379059,tt8847712,Undirected,1,movie
nm0379334,tt11263280,Undirected,1,movie
nm0380325,tt14646946,Undirected,1,movie
nm0383148,tt14846178,Undirected,1,movie
nm0384114,tt7575952,Undirected,1,movie
nm0385725,tt8844062,Undirected,1,movie
nm0386450,tt14959220,Undirected,1,movie
nm0387135,tt13411786,Undirected,1,movie
nm0387399,tt15138308,Undirected,1,movie
nm0387682,tt14552724,Undirected,1,movie
nm0387700,tt13648220,Undirected,1,movie
nm0388129,tt8783130,Undirected,1,movie
nm0388477,tt11271038,Undirected,1,movie
nm0389285,tt7740510,Undirected,1,movie
nm0389712,tt6992978,Undirected,1,movie
nm0390448,tt0293429,Undirected,1,movie
nm0391185,tt13497372,Undirected,1,movie
nm0391473,tt14039188,Undirected,1,movie
nm0391473,tt10851414,Undirected,1,movie
nm0392237,tt4244994,Undirected,1,movie
nm0392435,tt13891338,Undirected,1,movie
nm0392668,tt6402468,Undirected,1,movie
nm0393371,tt12494638,Undirected,1,movie
nm0395493,tt12182226,Undirected,1,movie
nm0396108,tt13986840,Undirected,1,movie
nm0397174,tt2953050,Undirected,1,movie
nm0397991,tt8174412,Undirected,1,movie
nm0398551,tt9777666,Undirected,1,movie
nm0398789,tt10573946,Undirected,1,movie
nm0398789,tt14257960,Undirected,1,movie
nm0399661,tt8079664,Undirected,1,movie
nm1144343,tt12809890,Undirected,1,movie
nm0403830,tt3986420,Undirected,1,movie
nm0405696,tt14498690,Undirected,1,movie
nm0407751,tt15042204,Undirected,1,movie
nm0408120,tt10945274,Undirected,1,movie
nm0408405,tt3473130,Undirected,1,movie
nm0408885,tt8722080,Undirected,1,movie
nm8513885,tt15495000,Undirected,1,movie
nm0409624,tt16396922,Undirected,1,movie
nm0410162,tt11902024,Undirected,1,movie
nm0410911,tt8404256,Undirected,1,movie
nm0411897,tt10095332,Undirected,1,movie
nm0412362,tt14616038,Undirected,1,movie
nm0412449,tt14497172,Undirected,1,movie
nm0412564,tt13424422,Undirected,1,movie
nm0412961,tt16253220,Undirected,1,movie
nm0413217,tt7236048,Undirected,1,movie
nm0415417,tt14395518,Undirected,1,movie
nm0415514,tt10309902,Undirected,1,movie
nm0415961,tt9777666,Undirected,1,movie
nm0418621,tt10944760,Undirected,1,movie
nm0419297,tt13024674,Undirected,1,movie
nm0419768,tt3480822,Undirected,1,movie
nm0419871,tt11053130,Undirected,1,movie
nm0420641,tt11578464,Undirected,1,movie
nm0421554,tt10725428,Undirected,1,movie
nm0423355,tt13314738,Undirected,1,movie
nm0425957,tt0326716,Undirected,1,movie
nm0427068,tt11034276,Undirected,1,movie
nm0427224,tt16088510,Undirected,1,movie
nm0428457,tt11902024,Undirected,1,movie
nm9976429,tt12801262,Undirected,1,movie
nm0430307,tt7265490,Undirected,1,movie
nm0431235,tt11155784,Undirected,1,movie
nm0431981,tt18283560,Undirected,1,movie
nm0432629,tt11210498,Undirected,1,movie
nm0433099,tt7696110,Undirected,1,movie
nm0433575,tt6100508,Undirected,1,movie
nm0434153,tt14274272,Undirected,1,movie
nm0434444,tt5034838,Undirected,1,movie
nm0435771,tt13871364,Undirected,1,movie
nm0436312,tt16250312,Undirected,1,movie
nm0436416,tt13261944,Undirected,1,movie
nm0436568,tt8350400,Undirected,1,movie
nm0438052,tt16306634,Undirected,1,movie
nm3595923,tt5280052,Undirected,1,movie
nm0438454,tt18250838,Undirected,1,movie
nm0438499,tt10309902,Undirected,1,movie
nm0439536,tt9444800,Undirected,1,movie
nm0440181,tt15000630,Undirected,1,movie
nm0442217,tt15298578,Undirected,1,movie
nm0442644,tt8110232,Undirected,1,movie
nm0442896,tt14801686,Undirected,1,movie
nm0444290,tt15105094,Undirected,1,movie
nm0444401,tt7325622,Undirected,1,movie
nm0444870,tt13694706,Undirected,1,movie
nm0444870,tt13067292,Undirected,1,movie
nm0445319,tt11423214,Undirected,1,movie
nm0445319,tt14579904,Undirected,1,movie
nm0445972,tt12003034,Undirected,1,movie
nm3637889,tt13617314,Undirected,1,movie
nm0448831,tt10005622,Undirected,1,movie
nm0448990,tt1998389,Undirected,1,movie
nm0449272,tt15119676,Undirected,1,movie
nm0450768,tt13843916,Undirected,1,movie
nm0450768,tt10223100,Undirected,1,movie
nm0451076,tt6341832,Undirected,1,movie
nm9186761,tt13013820,Undirected,1,movie
nm9492295,tt7758620,Undirected,1,movie
nm0451644,tt11486320,Undirected,1,movie
nm0451669,tt13067222,Undirected,1,movie
nm0452021,tt10986404,Undirected,1,movie
nm0452161,tt13328732,Undirected,1,movie
nm0452188,tt14503720,Undirected,1,movie
nm0453426,tt13667212,Undirected,1,movie
nm0453513,tt15489098,Undirected,1,movie
